issue_date,province_id,lead,probability,base_rate,y_obs
2024-02-21,3,6,0.410824,0.116051,0.0
2024-02-22,3,2,0.253205,0.116942,0.0
2024-02-22,3,3,0.277682,0.117017,0.0
2024-02-22,3,4,0.304799,0.117092,0.0
2024-02-22,3,5,0.309748,0.116618,0.0
2024-02-22,3,6,0.34638,0.116051,0.0
2024-02-23,3,2,0.257847,0.116942,0.0
2024-02-23,3,3,0.282907,0.117017,0.0
2024-02-23,3,4,0.310108,0.117092,0.0
2024-02-23,3,5,0.320036,0.116618,0.0
2024-02-23,3,6,0.348514,0.116051,0.0
2024-02-24,3,2,0.271621,0.116942,0.0
2024-02-24,3,3,0.279133,0.117017,0.0
2024-02-24,3,4,0.273599,0.117092,0.0
2024-02-24,3,5,0.289808,0.116618,0.0
2024-02-24,3,6,0.330937,0.116051,0.0
2024-01-30,4,2,0.276844,0.122611,0.0
2024-01-30,4,3,0.335264,0.12269,0.0
2024-01-30,4,4,0.306654,0.122768,0.0
2024-01-30,4,5,0.330823,0.122298,0.0
2024-01-30,4,6,0.369568,0.121734,0.0
2024-01-31,4,2,0.285261,0.122611,0.0
2024-01-31,4,3,0.341879,0.12269,0.0
2024-01-31,4,4,0.312523,0.122768,0.0
2024-01-31,4,5,0.340734,0.122298,0.0
2024-01-31,4,6,0.369145,0.121734,0.0
2024-02-01,4,2,0.272583,0.122611,0.0
2024-02-01,4,3,0.321863,0.12269,0.0
2024-02-01,4,4,0.291307,0.122768,0.0
2024-02-01,4,5,0.310769,0.122298,0.0
2024-02-01,4,6,0.343025,0.121734,0.0
2024-02-02,4,2,0.290849,0.122611,0.0
2024-02-02,4,3,0.332622,0.12269,0.0
2024-02-02,4,4,0.308904,0.122768,0.0
2024-02-02,4,5,0.3294,0.122298,0.0
2024-02-02,4,6,0.35851,0.121734,0.0
2024-02-03,4,2,0.298683,0.122611,0.0
2024-02-03,4,3,0.33607,0.12269,0.0
2024-02-03,4,4,0.318107,0.122768,0.0
2024-02-03,4,5,0.33608,0.122298,0.0
2024-02-03,4,6,0.370099,0.121734,0.0
2024-02-04,4,2,0.350919,0.122611,0.0
2024-02-04,4,3,0.393151,0.12269,0.0
2024-02-04,4,4,0.374402,0.122768,0.0
2024-02-04,4,5,0.394133,0.122298,0.0
2024-02-04,4,6,0.413692,0.121734,0.0
2024-02-05,4,2,0.396476,0.122611,0.0
2024-02-05,4,3,0.44501,0.12269,0.0
2024-02-05,4,4,0.422042,0.122768,0.0
2024-02-05,4,5,0.434207,0.122298,0.0
2024-02-05,4,6,0.451156,0.121734,0.0
2024-02-06,4,2,0.405011,0.122611,0.0
